'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','-','FP1-F3','F3-C3','C3-P3','P3-O1','-','FZ-CZ','CZ-PZ','-','FP2-F4','F4-C4','C4-P4','P4-O2','-','FP2-F8','F8-T8','T8-P8','P8-O2','-','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:56:45.000 10/08/2055]',-107.057,14.457,-8.987,28.523,0.000,-91.038,-20.317,10.940,27.350,0.000,-103.150,69.548,0.000,-5.470,10.940,-16.801,-57.827,0.000,-84.786,125.031,-145.348,35.946,0.000,8.987,28.523,-7.424,17.582,-145.348
'[17:56:45.004 10/08/2055]',0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
'[17:56:45.008 10/08/2055]',0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.391,0.000,0.781,0.000,0.000,0.000,0.000,0.000,0.000,0.781
'[17:56:45.012 10/08/2055]',0.391,0.000,0.000,0.000,0.000,0.391,0.391,0.000,0.000,0.000,0.391,0.000,0.000,0.000,0.000,0.000,0.391,0.000,-1.172,0.391,0.781,0.000,0.000,0.000,0.000,0.000,0.000,0.781
'[17:56:45.016 10/08/2055]',0.000,0.000,-0.391,0.000,0.000,0.781,-0.781,0.000,0.000,0.000,-0.391,0.000,0.000,0.000,-0.391,0.000,-0.391,0.000,2.735,1.172,-8.205,1.954,0.000,0.391,0.391,0.781,1.954,-8.205
'[17:56:45.020 10/08/2055]',-1.563,-0.781,-1.172,0.000,0.000,-2.735,-1.563,0.000,0.000,0.000,-1.954,0.000,0.000,0.000,0.391,0.000,-2.344,0.000,6.642,-3.516,-3.907,-0.391,0.000,1.172,1.172,0.000,0.000,-3.907
'[17:56:45.023 10/08/2055]',-4.689,-0.391,0.391,0.000,0.000,-5.470,0.391,0.781,0.000,0.000,-0.391,0.000,0.000,0.000,3.126,-0.391,-2.344,0.000,-3.126,-3.126,13.284,-6.252,0.000,-0.391,-0.391,-1.563,-2.735,13.284
'[17:56:45.027 10/08/2055]',-2.344,3.516,1.172,0.391,0.000,-0.391,0.781,2.344,0.391,0.000,2.735,0.000,0.000,0.000,2.344,-1.563,0.781,0.000,-11.722,0.781,17.192,-4.689,0.000,-1.172,-3.126,-0.781,-3.907,17.192
'[17:56:45.031 10/08/2055]',3.126,3.126,0.781,0.000,0.000,5.079,0.000,1.172,1.172,0.000,1.563,0.000,0.000,0.391,-1.172,0.000,1.954,0.000,0.781,1.172,-3.907,2.735,0.000,-0.781,-0.781,1.172,0.000,-3.907
'[17:56:45.035 10/08/2055]',2.735,-1.563,0.781,-0.391,0.000,0.781,0.391,-1.172,0.781,0.000,-1.954,0.000,0.000,4.298,0.000,2.344,-1.172,0.000,15.238,-5.079,-5.470,1.172,0.000,-0.781,2.735,0.781,-0.391,-5.470
'[17:56:45.039 10/08/2055]',-4.689,-0.781,-0.391,0.000,0.000,-3.516,-1.563,-0.781,-0.391,0.000,-5.079,-0.781,0.000,1.563,5.079,-0.391,-9.377,0.000,13.284,-3.516,-11.331,-2.735,0.000,0.391,3.516,1.954,1.563,-11.331
'[17:56:45.043 10/08/2055]',-23.053,6.252,-11.331,0.391,0.000,-19.145,-15.629,5.861,0.781,0.000,-15.238,-4.689,0.000,-5.470,11.331,-5.470,-28.913,0.000,39.463,-17.973,-43.370,-7.424,0.000,11.331,5.861,5.470,5.470,-43.370
'[17:56:45.047 10/08/2055]',-47.668,7.814,-3.126,2.344,0.000,-56.264,-7.424,16.410,5.470,0.000,-12.503,-3.516,0.000,3.516,30.476,-3.126,-33.993,0.000,26.960,-60.171,84.396,-54.701,0.000,3.126,-1.172,-9.377,-32.821,84.396
'[17:56:45.051 10/08/2055]',-69.939,27.741,15.238,4.298,0.000,-58.217,1.563,25.788,8.205,0.000,-0.781,-8.987,0.000,19.536,52.357,-22.271,-40.244,0.000,-14.847,-26.178,123.077,-72.283,0.000,-15.238,-12.503,-2.344,-33.211,123.077
'[17:56:45.055 10/08/2055]',-39.853,56.654,8.987,11.331,0.000,-23.053,-0.781,39.853,21.490,0.000,7.424,-8.205,0.000,31.258,54.310,-10.549,-33.211,0.000,0.781,-76.190,203.565,-85.568,0.000,-8.987,-24.225,-9.377,-82.051,203.565
'[17:56:45.059 10/08/2055]',-10.940,57.045,39.072,0.391,0.000,7.033,28.913,32.039,17.192,0.000,13.675,-4.689,0.000,32.039,58.999,4.298,-30.085,0.000,11.331,-69.939,226.618,-101.587,0.000,-39.072,-17.973,0.391,-77.363,226.618
'[17:56:45.063 10/08/2055]',6.252,74.628,41.416,-0.781,0.000,41.807,30.085,31.258,17.973,0.000,16.020,-3.516,0.000,50.012,62.125,12.503,-31.648,0.000,59.389,-84.396,204.737,-85.177,0.000,-41.416,-16.020,22.271,-100.415,204.737
'[17:56:45.066 10/08/2055]',28.132,100.024,31.648,-6.642,0.000,67.595,35.556,33.602,14.457,0.000,16.410,0.781,0.000,22.662,54.701,26.960,-31.258,0.000,68.767,-80.488,159.023,-73.455,0.000,-31.648,-23.053,39.853,-93.382,159.023
'[17:56:45.070 10/08/2055]',13.675,120.733,23.053,-13.675,0.000,44.151,53.138,31.648,13.284,0.000,18.755,3.516,0.000,42.979,51.966,23.443,-23.053,0.000,119.560,-44.151,79.707,-58.217,0.000,-23.053,-36.337,69.548,-59.389,79.707
'[17:56:45.074 10/08/2055]',7.033,145.348,20.708,-6.252,0.000,50.794,54.701,35.946,23.443,0.000,18.364,4.298,0.000,114.481,58.217,5.470,-16.801,0.000,172.308,-35.165,73.455,-47.277,0.000,-20.708,-47.668,92.601,-76.581,73.455
'[17:56:45.078 10/08/2055]',35.165,168.791,6.252,-8.205,0.000,87.912,54.701,35.946,21.099,0.000,14.847,1.954,0.000,141.441,55.482,-5.861,-13.675,0.000,162.930,-2.735,73.455,-56.654,0.000,-6.252,-58.999,92.991,-62.906,73.455
'[17:56:45.082 10/08/2055]',74.237,172.308,11.722,-6.252,0.000,133.236,52.357,34.774,29.304,0.000,14.066,5.861,0.000,124.249,38.681,16.020,-1.172,0.000,196.142,-8.987,71.111,-79.316,0.000,-11.722,-58.999,114.090,-51.184,71.111
'[17:56:45.086 10/08/2055]',124.640,164.884,39.463,-4.689,0.000,212.161,41.416,33.993,34.383,0.000,14.847,7.424,0.000,127.766,52.357,9.377,1.172,0.000,212.943,-50.012,112.137,-82.833,0.000,-39.463,-42.979,127.375,-91.429,112.137
'[17:56:45.090 10/08/2055]',137.924,163.321,44.151,-15.238,0.000,227.790,39.072,34.774,26.178,0.000,13.284,7.814,0.000,89.475,44.151,30.476,2.735,0.000,214.505,-49.231,85.958,-82.051,0.000,-44.151,-34.383,140.269,-87.912,85.958
'[17:56:45.094 10/08/2055]',125.812,182.466,37.900,-6.252,0.000,223.883,46.886,32.039,36.337,0.000,24.615,5.079,0.000,89.866,47.668,23.053,25.397,0.000,244.591,-42.589,37.118,-51.184,0.000,-37.900,-47.668,166.447,-71.502,37.118
'[17:56:45.098 10/08/2055]',117.998,210.598,23.053,-8.596,0.000,226.618,54.701,27.350,32.430,0.000,29.304,-4.298,0.000,159.805,69.158,-15.629,19.536,0.000,258.266,-77.363,97.680,-44.151,0.000,-23.053,-59.780,171.917,-144.957,97.680
'[17:56:45.102 10/08/2055]',97.680,225.836,14.847,-7.033,0.000,216.068,55.092,24.225,33.993,0.000,25.006,-11.722,0.000,224.664,51.184,-15.238,28.523,0.000,321.172,-76.581,79.316,-33.211,0.000,-14.847,-59.780,174.652,-144.176,79.316
'[17:56:45.105 10/08/2055]',73.065,229.744,15.629,-14.066,0.000,201.612,48.840,18.364,33.602,0.000,22.662,-19.145,0.000,199.267,32.430,-19.145,32.821,0.000,300.073,-45.714,25.006,-32.039,0.000,-15.629,-61.734,180.513,-101.978,25.006
'[17:56:45.109 10/08/2055]',93.773,219.585,29.304,-0.781,0.000,228.181,41.807,19.145,50.403,0.000,20.708,-14.847,0.000,180.122,33.993,-16.801,46.886,0.000,281.709,-31.648,30.085,-33.993,0.000,-29.304,-57.827,183.639,-95.336,30.085
'[17:56:45.113 10/08/2055]',117.216,226.618,40.635,-7.033,0.000,256.313,42.198,23.053,53.529,0.000,15.238,-10.549,0.000,177.387,24.615,-5.079,51.184,0.000,303.980,-41.416,23.834,-37.118,0.000,-40.635,-57.436,180.513,-88.694,23.834
'[17:56:45.117 10/08/2055]',128.156,226.227,35.165,0.000,0.000,268.034,43.370,20.317,57.827,0.000,12.503,-8.596,0.000,131.673,30.085,-8.987,65.250,0.000,289.524,-8.205,-58.217,-3.907,0.000,-35.165,-61.343,209.035,-53.138,-58.217
'[17:56:45.121 10/08/2055]',162.540,237.167,20.708,7.033,0.000,295.775,49.621,21.490,58.999,0.000,13.284,-7.033,0.000,147.692,46.886,-26.178,61.343,0.000,277.802,-80.879,30.476,2.735,0.000,-20.708,-72.674,212.161,-149.255,30.476
'[17:56:45.125 10/08/2055]',146.129,235.604,17.973,11.331,0.000,281.709,46.496,21.880,59.389,0.000,8.987,-3.907,0.000,192.234,46.105,-18.364,50.012,0.000,304.371,-114.481,93.382,-13.284,0.000,-17.973,-74.237,213.724,-188.718,93.382
'[17:56:45.129 10/08/2055]',108.620,207.082,35.556,17.192,0.000,250.452,35.946,20.317,60.952,0.000,4.298,-1.954,0.000,185.592,47.277,-15.629,42.979,0.000,309.841,-101.978,49.231,2.735,0.000,-35.556,-62.125,230.916,-165.275,49.231
'[17:56:45.133 10/08/2055]',51.966,189.499,46.105,14.457,0.000,189.499,35.165,20.708,55.092,0.000,5.861,6.642,0.000,159.414,41.026,0.781,33.993,0.000,288.742,-90.647,59.389,-19.927,0.000,-46.105,-50.794,214.505,-134.017,59.389
'[17:56:45.137 10/08/2055]',16.020,187.546,62.906,16.801,0.000,168.400,31.648,21.490,60.562,0.000,10.159,16.410,0.000,173.089,26.178,24.615,41.416,0.000,316.484,-84.396,79.316,-43.370,0.000,-62.906,-45.324,203.175,-103.541,79.316
'[17:56:45.141 10/08/2055]',20.317,210.989,52.747,14.847,0.000,166.447,46.886,25.397,58.999,0.000,7.424,17.973,0.000,132.063,40.635,11.722,41.416,0.000,299.683,-108.620,63.297,-25.788,0.000,-52.747,-69.939,220.366,-115.263,63.297
'[17:56:45.145 10/08/2055]',21.099,224.274,38.681,23.443,0.000,164.493,48.840,29.304,64.078,0.000,10.549,22.271,0.000,97.680,32.430,18.364,45.324,0.000,273.504,-121.905,64.469,-19.145,0.000,-38.681,-82.051,234.432,-135.189,64.469
'[17:56:45.148 10/08/2055]',31.258,223.101,41.807,31.648,0.000,182.857,40.635,32.430,70.720,0.000,13.284,16.801,0.000,97.680,54.701,-8.987,42.198,0.000,219.194,-123.858,110.574,-18.755,0.000,-41.807,-93.773,231.306,-162.149,110.574
